数据表,说明文档,记录数,字段数,学生标识候选,时间字段候选,数据粒度,主题域,建模角色,优先级,推荐用途,关键备注
学生基本信息.xlsx,字段说明\学生基本信息.docx,2500,8,XH,无,学生静态,基础画像,主维表,P0,统一学生主表与静态画像,后续所有映射都以 XH 作为 canonical student_id
学生成绩.xlsx,字段说明\学生成绩.docx,288165,18,XH,KSSJ,学生-课程-考试,学业表现,核心特征/标签来源,P0,构造绩点挂科重修与学业波动特征,字段 BY1 和 SDXF 等请以说明文档为准
学生签到记录.xlsx,字段说明\学生签到记录.docx,748680,13,LOGIN_NAME,ATTEND_TIME/INSERT_TIME,学生-签到事件,课堂出勤,核心行为特征,P0,构造签到率缺勤率迟到率等出勤特征,需先将 LOGIN_NAME 映射回 student_id
学生选课信息.xlsx,字段说明\选课信息.docx,274696,11,XH,XKRQ/KKXN/KKXQ,学生-课程-选课,教学组织,核心桥接表,P0,补齐课程学期并连接课程维表,是学生与课程之间最重要的桥接表
学籍异动.xlsx,字段说明\学籍异动.docx,2552,21,XH,YDRQ/SPRQ/BY1,学生-异动事件,学籍风险,核心标签表,P0,构造休学留级延长学制等风险标签,建议先做高风险二分类再扩展多分类
上网统计.xlsx,字段说明\上网统计.docx,16869,12,XSBH,TJNY/XN/XQ,学生-月份,网络行为,核心行为特征,P0,构造月度上网时长与偏离校均值特征,覆盖高且易聚合到学期
线上学习（综合表现）.xlsx,字段说明\线上学习（综合表现）.docx,2499,7,LOGIN_NAME,快照字段缺失,学生-平台表现快照,线上学习,核心行为特征,P0,构造平台综合表现与学习投入特征,需通过账号映射到 student_id
课堂任务参与.xlsx,字段说明\课堂任务参与.docx,247549,56,LOGIN_NAME,CREATE_TIME/UPDATE_TIME/INSERT_TIME,学生-课程学习汇总,在线课程学习,核心行为特征,P0,构造任务点完成率视频时长测验分数讨论活跃度,字段丰富是重要增益点
学生作业提交记录.xlsx,字段说明\学生作业提交记录.docx,49790,29,CREATER_LOGIN_NAME,CREATER_TIME/ANSWER_TIME/REVIEW_TIME,学生-课程-作业提交,课程学习,辅助增强,P1,构造作业完成率得分与提交时效特征,账号字段需做映射
考试提交记录.xlsx,字段说明\考试提交记录.docx,33609,26,CREATER_LOGIN_NAME,CREATER_TIME/ANSWER_TIME/REVIEW_TIME,学生-课程-测验提交,课程测验,辅助增强,P1,构造测验完成率与测验得分特征,账号字段需做映射
图书馆打卡记录.xlsx,字段说明\图书馆打卡记录.docx,205495,6,cardld,visittime,学生-进出馆事件,学习空间行为,辅助增强,P1,构造进馆频次时段规律与学习投入特征,字段名 cardld 疑似 cardId 且需要主键映射
日常锻炼.xlsx,字段说明\日常锻炼.docx,42503,10,XH,XQ/ZC,学生-学期-周,运动习惯,辅助增强,P1,构造周度有效打卡次数与坚持度特征,适合做健康维度
体育课.xlsx,字段说明\体育课.docx,14590,11,XH,XQ/SKSJ,学生-学期,体育教学,辅助增强,P1,构造体育课程参与与课程负荷特征,可与体能数据联动
体测数据.xlsx,字段说明\体测数据.docx,9814,19,XH,TCNF,学生-年份,身体素质,辅助增强,P1,构造体测总分与单项能力特征,年度粒度需映射到学年
学生体能考核.xlsx,字段说明\学生体能考核数据.docx,4857,13,XH,XQ/TSTAMP,学生-学期-考核项,身体素质,辅助增强,P1,构造体能考核成绩与换算分特征,与体测数据互补
奖学金获奖.xlsx,字段说明\奖学金获奖.docx,3339,7,XSBH,PDXN,学生-学年-奖项,奖助学金,正向标签表,P1,做优秀学生识别与结果标签,可作为正向支线任务
本科生综合测评.xlsx,字段说明\本科生综合测评.docx,12615,53,XH,PDXN/PDXQ/CPXN/CPXQ,学生-学年或学期,综合评价,正向标签表,P1,使用综合评分排名和等级做高阶标签,字段极丰富适合后期强化
毕业去向.xlsx,字段说明\毕业去向.docx,2500,54,SID,GRADUATE_YEAR/RXSJ,学生-毕业结果,就业升学,终局标签表,P1,做终局结果分析与多分类建模,更适合第二阶段扩展任务
四六级成绩.xlsx,字段说明\四六级成绩.docx,9040,3,KS_XH,无显式时间字段,学生-考试级别,语言能力,辅助标签,P1,分析英语能力与发展结果关系,需自行补时间或按静态结果使用
课程信息.xlsx,字段说明\课程信息.docx,16519,51,KCH,KSRQ/CZSJ,课程静态,课程元数据,课程维表,P1,补充课程属性难度学分考试方式,需通过学生选课信息关联到学生
考勤汇总.xlsx,字段说明\考勤-汇总表.docx,4683,30,XH,RQ/DKSJ,学生-课程-日期节次,课堂出勤,辅助增强,P1,做教务与无感考勤交叉校验特征,记录量较小更适合校验型特征
学科竞赛.xlsx,字段说明\学科竞赛.docx,2035,10,XHHGH,HJSJ,学生-竞赛获奖,竞赛发展,辅助标签,P2,做竞赛能力与优秀画像分析,字段含工号需先过滤非学生记录
社团活动.xlsx,字段说明\社团活动.docx,16240,2,XSBH,HDRQ,学生-活动日期,校园活动,辅助增强,P2,做社团活跃度与综合发展分析,字段少但可补活动频次
讨论记录.xlsx,字段说明\讨论记录.docx,14539,15,CREATER_LOGIN_NAME/REPLY_LOGIN_NAME,CREATE_TIME/INSERT_TIME,课程-话题-回帖事件,互动行为,辅助增强,P2,做论坛发帖回帖活跃度分析,需要账号映射且需区分教师与学生
门禁数据.xlsx,字段说明\门禁数据.docx,22113,6,IDSERTAL,LOGINTIME,学生-门禁事件,作息行为,低覆盖增强,P2,构造早出晚归与作息规律特征,当前覆盖学生数偏低不宜做主特征
